LAST SEEN   TYPE      REASON                  OBJECT                                    MESSAGE
46m         Normal    Scheduled               pod/static-writer                         Successfully assigned dso202-practical-02/static-writer to worker-node-1
46m         Normal    Pulling                 pod/static-writer                         Pulling image "busybox:1.37"
46m         Normal    Pulled                  pod/static-writer                         Successfully pulled image "busybox:1.37" in 11.005s (11.005s including waiting). Image size: 1911349 bytes.
46m         Normal    Created                 pod/static-writer                         Container created
46m         Normal    Started                 pod/static-writer                         Container started
45m         Normal    Killing                 pod/static-writer                         Stopping container writer
44m         Normal    Started                 pod/static-writer                         Container started
44m         Normal    Created                 pod/static-writer                         Container created
44m         Normal    Pulled                  pod/static-writer                         Container image "busybox:1.37" already present on machine and can be accessed by the pod
44m         Normal    Scheduled               pod/static-writer                         Successfully assigned dso202-practical-02/static-writer to worker-node-1
44m         Normal    Killing                 pod/static-writer                         Stopping container writer
42m         Normal    WaitForFirstConsumer    persistentvolumeclaim/pvc-web-static      waiting for first consumer to be created before binding
42m         Normal    Scheduled               pod/static-writer                         Successfully assigned dso202-practical-02/static-writer to worker-node-1
42m         Normal    Started                 pod/static-writer                         Container started
42m         Normal    Created                 pod/static-writer                         Container created
42m         Normal    Pulled                  pod/static-writer                         Container image "busybox:1.37" already present on machine and can be accessed by the pod
39m         Normal    WaitForFirstConsumer    persistentvolumeclaim/dynamic-data        waiting for first consumer to be created before binding
39m         Normal    Provisioning            persistentvolumeclaim/dynamic-data        External provisioner is provisioning volume for claim "dso202-practical-02/dynamic-data"
39m         Normal    ExternalProvisioning    persistentvolumeclaim/dynamic-data        Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
39m         Normal    ProvisioningSucceeded   persistentvolumeclaim/dynamic-data        Successfully provisioned volume pvc-8ba1cc3b-5b35-4d4f-b02b-031e1bcd1a9c
39m         Normal    Pulling                 pod/dynamic-writer                        Pulling image "busybox:1.37"
39m         Normal    Scheduled               pod/dynamic-writer                        Successfully assigned dso202-practical-02/dynamic-writer to worker-node-2
39m         Normal    Created                 pod/dynamic-writer                        Container created
39m         Normal    Pulled                  pod/dynamic-writer                        Successfully pulled image "busybox:1.37" in 10.816s (10.816s including waiting). Image size: 1911349 bytes.
39m         Normal    Started                 pod/dynamic-writer                        Container started
36m         Normal    Killing                 pod/dynamic-writer                        Stopping container writer
33m         Normal    WaitForFirstConsumer    persistentvolumeclaim/shared-data         waiting for first consumer to be created before binding
33m         Normal    SuccessfulCreate        replicaset/shared-writer-6f4b987c7b       Created pod: shared-writer-6f4b987c7b-rv7dt
33m         Warning   FailedScheduling        pod/shared-writer-6f4b987c7b-rv7dt        running PreBind plugin "VolumeBinding": Operation cannot be fulfilled on persistentvolumeclaims "shared-data": the object has been modified; please apply your changes to the latest version and try again
33m         Normal    Provisioning            persistentvolumeclaim/shared-data         External provisioner is provisioning volume for claim "dso202-practical-02/shared-data"
33m         Normal    ExternalProvisioning    persistentvolumeclaim/shared-data         Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
33m         Warning   FailedScheduling        pod/shared-writer-6f4b987c7b-tt54t        running PreBind plugin "VolumeBinding": Operation cannot be fulfilled on persistentvolumeclaims "shared-data": the object has been modified; please apply your changes to the latest version and try again
33m         Normal    ScalingReplicaSet       deployment/shared-writer                  Scaled up replica set shared-writer-6f4b987c7b from 0 to 3
33m         Normal    SuccessfulCreate        replicaset/shared-writer-6f4b987c7b       Created pod: shared-writer-6f4b987c7b-22ffm
33m         Normal    SuccessfulCreate        replicaset/shared-writer-6f4b987c7b       Created pod: shared-writer-6f4b987c7b-tt54t
